Nfactura,CODCLI,CODART,Fecha,Unidades,Precio,Costo
1852,13,1,2018-01-30,32,551.02,413.27
1853,13,2,2018-01-31,25,116.99,98.27
1854,13,4,2018-02-01,34,269.99,213.29
1855,13,5,2018-02-02,30,494.99,391.04
1856,13,12,2018-02-03,46,42.8,35.95
1857,13,13,2018-02-04,115,43.19,36.28
1858,13,3,2018-02-05,2,314.99,267.74
2143,13,1,2018-11-17,20,551.02,413.27
2144,13,2,2018-11-18,16,116.99,98.27
2145,13,4,2018-11-19,22,269.99,213.29
2146,13,5,2018-11-20,19,494.99,391.04
2147,13,12,2018-11-21,29,42.8,35.95
2148,13,13,2018-11-22,73,43.19,36.28
2149,13,3,2018-11-23,1,314.99,267.74
182,13,1,2015-11-20,22,551.02,413.27
183,13,2,2015-11-20,17,116.99,98.27
184,13,4,2015-11-20,24,269.99,213.29
185,13,5,2015-11-20,21,494.99,391.04
186,13,12,2015-11-20,32,42.8,35.95
187,13,13,2015-11-20,81,43.19,36.28
188,13,3,2015-11-20,1,314.99,267.74
263,13,1,2016-01-20,22,551.02,413.27
264,13,2,2016-01-20,17,116.99,98.27
265,13,4,2016-01-20,24,269.99,213.29
266,13,5,2016-01-20,21,494.99,391.04
267,13,12,2016-01-20,32,42.8,35.95
268,13,13,2016-01-20,81,43.19,36.28
269,13,3,2016-01-20,20,314.99,267.74
517,13,1,2016-05-20,20,551.02,413.27
518,13,2,2016-05-20,16,116.99,98.27
519,13,4,2016-05-20,22,269.99,213.29
520,13,5,2016-05-20,19,494.99,391.04
521,13,12,2016-05-20,29,42.8,35.95
522,13,13,2016-05-20,73,43.19,36.28
523,13,3,2016-05-20,20,314.99,267.74
898,13,1,2016-11-20,22,551.02,413.27
899,13,2,2016-11-20,17,116.99,98.27
900,13,4,2016-11-20,24,269.99,213.29
901,13,5,2016-11-20,21,494.99,391.04
902,13,12,2016-11-20,32,42.8,35.95
903,13,13,2016-11-20,81,43.19,36.28
904,13,3,2016-11-20,20,314.99,267.74
1233,13,1,2017-05-20,20,551.02,413.27
1234,13,2,2017-05-20,16,116.99,98.27
1235,13,4,2017-05-20,22,269.99,213.29
1236,13,5,2017-05-20,19,494.99,391.04
1237,13,12,2017-05-20,29,42.8,35.95
1238,13,13,2017-05-20,73,43.19,36.28
1239,13,3,2017-05-20,1,314.99,267.74
1614,13,1,2017-11-20,22,551.02,413.27
1615,13,2,2017-11-20,17,116.99,98.27
1616,13,4,2017-11-20,24,269.99,213.29
1617,13,5,2017-11-20,21,494.99,391.04
1618,13,12,2017-11-20,32,42.8,35.95
1619,13,13,2017-11-20,81,43.19,36.28
1620,13,3,2017-11-20,1,314.99,267.74
1850,13,1,2018-01-20,22,551.02,413.27
1851,13,2,2018-01-20,17,116.99,98.27
1852,13,4,2018-01-20,24,269.99,213.29
1853,13,5,2018-01-20,21,494.99,391.04
1854,13,12,2018-01-20,32,42.8,35.95
1855,13,13,2018-01-20,81,43.19,36.28
1856,13,3,2018-01-20,1,314.99,267.74
1857,13,1,2018-01-20,22,551.02,413.27
1858,13,2,2018-01-20,17,116.99,98.27
1859,13,4,2018-01-20,24,269.99,213.29
1860,13,5,2018-01-20,21,494.99,391.04
1861,13,12,2018-01-20,32,42.8,35.95
1862,13,13,2018-01-20,81,43.19,36.28
1863,13,3,2018-01-20,1,314.99,267.74
2328,13,1,2018-05-20,20,551.02,413.27
2329,13,2,2018-05-20,16,116.99,98.27
2330,13,4,2018-05-20,22,269.99,213.29
2331,13,5,2018-05-20,19,494.99,391.04
2332,13,12,2018-05-20,29,42.8,35.95
2333,13,13,2018-05-20,73,43.19,36.28
2334,13,3,2018-05-20,1,314.99,267.74
2709,13,1,2018-11-20,22,551.02,413.27
2710,13,2,2018-11-20,17,116.99,98.27
2711,13,4,2018-11-20,24,269.99,213.29
2712,13,5,2018-11-20,21,494.99,391.04
2713,13,12,2018-11-20,32,42.8,35.95
2714,13,13,2018-11-20,81,43.19,36.28
2715,13,3,2018-11-20,1,314.99,267.74
2888,13,1,2019-01-20,22,551.02,413.27
2889,13,2,2019-01-20,17,116.99,98.27
2890,13,4,2019-01-20,24,269.99,213.29
2891,13,5,2019-01-20,21,494.99,391.04
2892,13,12,2019-01-20,32,42.8,35.95
2893,13,13,2019-01-20,81,43.19,36.28
2894,13,3,2019-01-20,1,314.99,267.74
3250,13,1,2019-05-20,20,551.02,413.27
3251,13,2,2019-05-20,16,116.99,98.27
3252,13,4,2019-05-20,22,269.99,213.29
3253,13,5,2019-05-20,19,494.99,391.04
3254,13,12,2019-05-20,29,42.8,35.95
3255,13,13,2019-05-20,73,43.19,36.28
3256,13,3,2019-05-20,1,314.99,267.74
3491,13,1,2019-12-23,22,551.02,413.27
3492,13,2,2019-12-24,17,116.99,98.27
3493,13,4,2019-12-25,24,269.99,213.29
3494,13,5,2019-12-26,21,494.99,391.04
3495,13,12,2019-12-27,32,42.8,35.95
3496,13,13,2019-12-28,81,43.19,36.28
3497,13,3,2019-12-29,1,314.99,267.74
3828,13,1,2020-11-24,20,551.02,413.27
3829,13,2,2020-11-25,16,116.99,98.27
3830,13,4,2020-11-26,22,269.99,213.29
3831,13,5,2020-11-27,19,494.99,391.04
3832,13,12,2020-11-28,29,42.8,35.95
3833,13,13,2020-11-29,73,43.19,36.28
3834,13,3,2020-11-30,1,314.99,267.74
1,3,1,2013-01-05,8,551.02,418.78
2,3,2,2013-01-06,22,116.99,98.27
3,3,5,2013-01-07,22,494.99,391.04
4,3,7,2013-01-08,22,53.99,45.35
5,3,11,2013-01-09,22,539.99,426.59
6,3,10,2013-01-10,6,215.99,183.59
7,3,12,2013-01-11,8,42.8,36.38
8,3,13,2013-01-12,32,43.19,36.28
9,3,15,2013-01-13,32,48.81,41.0
10,3,9,2013-01-14,6,404.99,344.24
199,3,1,2013-07-22,8,551.02,418.78
200,3,2,2013-07-23,23,116.99,98.27
201,3,5,2013-07-24,23,494.99,391.04
202,3,7,2013-07-25,23,53.99,45.35
203,3,11,2013-07-26,23,539.99,426.59
204,3,10,2013-07-27,6,215.99,183.59
205,3,12,2013-07-28,8,42.8,36.38
206,3,13,2013-07-29,33,43.19,36.28
207,3,15,2013-07-30,33,48.81,41.0
208,3,9,2013-07-31,6,404.99,344.24
363,3,1,2014-01-02,7,551.02,418.78
364,3,2,2014-01-03,20,116.99,98.27
365,3,5,2014-01-04,20,494.99,391.04
366,3,7,2014-01-05,20,53.99,45.35
367,3,11,2014-01-06,20,539.99,426.59
368,3,10,2014-01-07,5,215.99,183.59
369,3,12,2014-01-08,7,42.8,36.38
370,3,13,2014-01-09,29,43.19,36.28
371,3,15,2014-01-10,29,48.81,41.0
372,3,9,2014-01-11,5,404.99,344.24
520,3,1,2014-06-08,5,551.02,418.78
521,3,2,2014-06-09,14,116.99,98.27
522,3,5,2014-06-10,14,494.99,391.04
523,3,7,2014-06-11,14,53.99,45.35
524,3,11,2014-06-12,14,539.99,426.59
525,3,10,2014-06-13,4,215.99,183.59
526,3,12,2014-06-14,5,42.8,36.38
527,3,13,2014-06-15,20,43.19,36.28
528,3,15,2014-06-16,20,48.81,41.0
529,3,9,2014-06-17,4,404.99,344.24
607,3,1,2014-09-03,6,551.02,418.78
608,3,2,2014-09-04,16,116.99,98.27
609,3,5,2014-09-05,16,494.99,391.04
610,3,7,2014-09-06,16,53.99,45.35
611,3,11,2014-09-07,16,539.99,426.59
612,3,10,2014-09-08,4,215.99,183.59
613,3,12,2014-09-09,6,42.8,36.38
614,3,13,2014-09-10,24,43.19,36.28
615,3,15,2014-09-11,24,48.81,41.0
616,3,9,2014-09-12,4,404.99,344.24
726,3,1,2014-12-31,8,551.02,418.78
727,3,2,2015-01-01,22,116.99,98.27
728,3,5,2015-01-02,22,494.99,391.04
729,3,7,2015-01-03,22,53.99,45.35
730,3,11,2015-01-04,22,539.99,426.59
731,3,10,2015-01-05,6,215.99,183.59
732,3,12,2015-01-06,8,42.8,36.38
733,3,13,2015-01-07,32,43.19,36.28
734,3,15,2015-01-08,32,48.81,41.0
735,3,9,2015-01-09,6,404.99,344.24
898,3,1,2015-06-21,9,551.02,418.78
899,3,2,2015-06-22,27,116.99,98.27
900,3,5,2015-06-23,27,494.99,391.04
901,3,7,2015-06-24,27,53.99,45.35
902,3,11,2015-06-25,27,539.99,426.59
903,3,10,2015-06-26,7,215.99,183.59
904,3,12,2015-06-27,9,42.8,36.38
905,3,13,2015-06-28,39,43.19,36.28
906,3,15,2015-06-29,39,48.81,41.0
907,3,9,2015-06-30,7,404.99,344.24
1096,3,1,2016-01-05,10,551.02,413.27
1097,3,2,2016-01-06,28,116.99,98.27
1098,3,5,2016-01-07,28,494.99,391.04
1099,3,7,2016-01-08,28,53.99,45.35
1100,3,11,2016-01-09,28,539.99,426.59
1101,3,10,2016-01-10,8,215.99,183.59
1102,3,12,2016-01-11,10,42.8,35.95
1103,3,13,2016-01-12,40,43.19,36.28
1104,3,15,2016-01-13,40,48.81,41.0
1105,3,9,2016-01-14,8,404.99,344.24
1260,3,1,2016-06-17,8,551.02,418.78
1261,3,2,2016-06-18,24,116.99,98.27
1262,3,5,2016-06-19,24,494.99,391.04
1263,3,7,2016-06-20,24,53.99,45.35
1264,3,11,2016-06-21,24,539.99,426.59
1265,3,10,2016-06-22,7,215.99,183.59
1266,3,12,2016-06-23,8,42.8,36.38
1267,3,13,2016-06-24,35,43.19,36.28
1268,3,15,2016-06-25,35,48.81,41.0
1269,3,9,2016-06-26,7,404.99,344.24
1417,3,1,2016-11-21,6,551.02,418.78
1418,3,2,2016-11-22,17,116.99,98.27
1419,3,5,2016-11-23,17,494.99,391.04
1420,3,7,2016-11-24,17,53.99,45.35
1421,3,11,2016-11-25,17,539.99,426.59
1422,3,10,2016-11-26,5,215.99,183.59
1423,3,12,2016-11-27,6,42.8,36.38
1424,3,13,2016-11-28,25,43.19,36.28
1425,3,15,2016-11-29,25,48.81,41.0
1426,3,9,2016-11-30,5,404.99,344.24
1504,3,1,2017-02-16,7,551.02,418.78
1505,3,2,2017-02-17,20,116.99,98.27
1506,3,5,2017-02-18,20,494.99,391.04
1507,3,7,2017-02-19,20,53.99,45.35
1508,3,11,2017-02-20,20,539.99,426.59
1509,3,10,2017-02-21,5,215.99,183.59
1510,3,12,2017-02-22,7,42.8,36.38
1511,3,13,2017-02-23,29,43.19,36.28
1512,3,15,2017-02-24,29,48.81,41.0
1513,3,9,2017-02-25,5,404.99,344.24
1623,3,1,2017-06-15,9,551.02,418.78
1624,3,2,2017-06-16,27,116.99,98.27
1625,3,5,2017-06-17,27,494.99,391.04
1626,3,7,2017-06-18,27,53.99,45.35
1627,3,11,2017-06-19,27,539.99,426.59
1628,3,10,2017-06-20,7,215.99,183.59
1629,3,12,2017-06-21,9,42.8,36.38
1630,3,13,2017-06-22,39,43.19,36.28
1631,3,15,2017-06-23,39,48.81,41.0
1632,3,9,2017-06-24,7,404.99,344.24
1795,3,1,2017-12-04,11,551.02,413.27
1796,3,2,2017-12-05,32,116.99,98.27
1797,3,5,2017-12-06,32,494.99,391.04
1798,3,7,2017-12-07,32,53.99,45.35
1799,3,11,2017-12-08,32,539.99,426.59
1800,3,10,2017-12-09,9,215.99,183.59
1801,3,12,2017-12-10,11,42.8,35.95
1802,3,13,2017-12-11,46,43.19,36.28
1803,3,15,2017-12-12,46,48.81,41.0
1804,3,9,2017-12-13,9,404.99,344.24
1993,3,1,2018-06-20,11,551.02,413.27
1994,3,2,2018-06-21,32,116.99,98.27
1995,3,5,2018-06-22,32,494.99,391.04
1996,3,7,2018-06-23,32,53.99,45.35
1997,3,11,2018-06-24,32,539.99,426.59
1998,3,10,2018-06-25,9,215.99,183.59
1999,3,12,2018-06-26,11,42.8,35.95
2000,3,13,2018-06-27,47,43.19,36.28
2001,3,15,2018-06-28,47,48.81,41.0
2002,3,9,2018-06-29,9,404.99,344.24
2111,3,1,2018-10-16,7,551.02,418.78
2112,3,2,2018-10-17,20,116.99,98.27
2113,3,5,2018-10-18,20,494.99,391.04
2114,3,7,2018-10-19,20,53.99,45.35
2115,3,11,2018-10-20,20,539.99,426.59
2116,3,10,2018-10-21,5,215.99,183.59
2117,3,12,2018-10-22,7,42.8,36.38
2118,3,13,2018-10-23,29,43.19,36.28
2119,3,15,2018-10-24,29,48.81,41.0
2120,3,9,2018-10-25,5,404.99,344.24
2268,3,1,2019-03-22,5,551.02,418.78
2269,3,2,2019-03-23,14,116.99,98.27
2270,3,5,2019-03-24,14,494.99,391.04
2271,3,7,2019-03-25,14,53.99,45.35
2272,3,11,2019-03-26,14,539.99,426.59
2273,3,10,2019-03-27,4,215.99,183.59
2274,3,12,2019-03-28,5,42.8,36.38
2275,3,13,2019-03-29,20,43.19,36.28
2276,3,15,2019-03-30,20,48.81,41.0
2277,3,9,2019-03-31,4,404.99,344.24
13,3,1,2015-09-05,6,551.02,418.78
14,3,2,2015-09-05,16,116.99,98.27
15,3,5,2015-09-05,16,494.99,391.04
16,3,7,2015-09-05,16,53.99,45.35
17,3,11,2015-09-05,16,539.99,426.59
18,3,10,2015-09-05,4,215.99,183.59
19,3,12,2015-09-05,6,42.8,36.38
20,3,13,2015-09-05,24,43.19,36.28
21,3,15,2015-09-05,24,48.81,41.0
22,3,9,2015-09-05,4,404.99,344.24
132,3,1,2015-11-05,8,551.02,418.78
133,3,2,2015-11-05,22,116.99,98.27
134,3,5,2015-11-05,22,494.99,391.04
135,3,7,2015-11-05,22,53.99,45.35
136,3,11,2015-11-05,22,539.99,426.59
137,3,10,2015-11-05,6,215.99,183.59
138,3,12,2015-11-05,8,42.8,36.38
139,3,13,2015-11-05,32,43.19,36.28
140,3,15,2015-11-05,32,48.81,41.0
141,3,9,2015-11-05,6,404.99,344.24
206,3,1,2016-01-05,10,551.02,418.78
207,3,2,2016-01-05,22,116.99,98.27
208,3,5,2016-01-05,22,494.99,391.04
209,3,7,2016-01-05,22,53.99,45.35
210,3,11,2016-01-05,22,539.99,426.59
211,3,10,2016-01-05,6,215.99,183.59
212,3,12,2016-01-05,8,42.8,36.38
213,3,13,2016-01-05,32,43.19,36.28
214,3,15,2016-01-05,32,48.81,41.0
215,3,9,2016-01-05,6,404.99,344.24
404,3,1,2016-03-05,8,551.02,418.78
405,3,2,2016-03-05,23,116.99,98.27
406,3,5,2016-03-05,23,494.99,391.04
407,3,7,2016-03-05,23,53.99,45.35
408,3,11,2016-03-05,23,539.99,426.59
409,3,10,2016-03-05,6,215.99,183.59
410,3,12,2016-03-05,8,42.8,36.38
411,3,13,2016-03-05,33,43.19,36.28
412,3,15,2016-03-05,33,48.81,41.0
413,3,9,2016-03-05,6,404.99,344.24
485,3,1,2016-05-05,7,551.02,418.78
486,3,2,2016-05-05,20,116.99,98.27
487,3,5,2016-05-05,20,494.99,391.04
488,3,7,2016-05-05,20,53.99,45.35
489,3,11,2016-05-05,20,539.99,426.59
490,3,10,2016-05-05,5,215.99,183.59
491,3,12,2016-05-05,7,42.8,36.38
492,3,13,2016-05-05,29,43.19,36.28
493,3,15,2016-05-05,29,48.81,41.0
494,3,9,2016-05-05,5,404.99,344.24
642,3,1,2016-07-05,5,551.02,418.78
643,3,2,2016-07-05,14,116.99,98.27
644,3,5,2016-07-05,14,494.99,391.04
645,3,7,2016-07-05,14,53.99,45.35
646,3,11,2016-07-05,14,539.99,426.59
647,3,10,2016-07-05,4,215.99,183.59
648,3,12,2016-07-05,5,42.8,36.38
649,3,13,2016-07-05,20,43.19,36.28
650,3,15,2016-07-05,20,48.81,41.0
651,3,9,2016-07-05,4,404.99,344.24
729,3,1,2016-09-05,6,551.02,418.78
730,3,2,2016-09-05,16,116.99,98.27
731,3,5,2016-09-05,16,494.99,391.04
732,3,7,2016-09-05,16,53.99,45.35
733,3,11,2016-09-05,16,539.99,426.59
734,3,10,2016-09-05,4,215.99,183.59
735,3,12,2016-09-05,6,42.8,36.38
736,3,13,2016-09-05,24,43.19,36.28
737,3,15,2016-09-05,24,48.81,41.0
738,3,9,2016-09-05,4,404.99,344.24
848,3,1,2016-11-05,8,551.02,418.78
849,3,2,2016-11-05,22,116.99,98.27
850,3,5,2016-11-05,22,494.99,391.04
851,3,7,2016-11-05,22,53.99,45.35
852,3,11,2016-11-05,22,539.99,426.59
853,3,10,2016-11-05,6,215.99,183.59
854,3,12,2016-11-05,8,42.8,36.38
855,3,13,2016-11-05,32,43.19,36.28
856,3,15,2016-11-05,32,48.81,41.0
857,3,9,2016-11-05,6,404.99,344.24
1120,3,1,2017-03-05,8,551.02,418.78
1121,3,2,2017-03-05,23,116.99,98.27
1122,3,5,2017-03-05,23,494.99,391.04
1123,3,7,2017-03-05,23,53.99,45.35
1124,3,11,2017-03-05,23,539.99,426.59
1125,3,10,2017-03-05,6,215.99,183.59
1126,3,12,2017-03-05,8,42.8,36.38
1127,3,13,2017-03-05,33,43.19,36.28
1128,3,15,2017-03-05,33,48.81,41.0
1129,3,9,2017-03-05,6,404.99,344.24
1201,3,1,2017-05-05,7,551.02,418.78
1202,3,2,2017-05-05,20,116.99,98.27
1203,3,5,2017-05-05,20,494.99,391.04
1204,3,7,2017-05-05,20,53.99,45.35
1205,3,11,2017-05-05,20,539.99,426.59
1206,3,10,2017-05-05,5,215.99,183.59
1207,3,12,2017-05-05,7,42.8,36.38
1208,3,13,2017-05-05,29,43.19,36.28
1209,3,15,2017-05-05,29,48.81,41.0
1210,3,9,2017-05-05,5,404.99,344.24
1358,3,1,2017-07-05,5,551.02,418.78
1359,3,2,2017-07-05,14,116.99,98.27
1360,3,5,2017-07-05,14,494.99,391.04
1361,3,7,2017-07-05,14,53.99,45.35
1362,3,11,2017-07-05,14,539.99,426.59
1363,3,10,2017-07-05,4,215.99,183.59
1364,3,12,2017-07-05,5,42.8,36.38
1365,3,13,2017-07-05,20,43.19,36.28
1366,3,15,2017-07-05,20,48.81,41.0
1367,3,9,2017-07-05,4,404.99,344.24
1445,3,1,2017-09-05,6,551.02,418.78
1446,3,2,2017-09-05,16,116.99,98.27
1447,3,5,2017-09-05,16,494.99,391.04
1448,3,7,2017-09-05,16,53.99,45.35
1449,3,11,2017-09-05,16,539.99,426.59
1450,3,10,2017-09-05,4,215.99,183.59
1451,3,12,2017-09-05,6,42.8,36.38
1452,3,13,2017-09-05,24,43.19,36.28
1453,3,15,2017-09-05,24,48.81,41.0
1454,3,9,2017-09-05,4,404.99,344.24
1564,3,1,2017-11-05,8,551.02,418.78
1565,3,2,2017-11-05,22,116.99,98.27
1566,3,5,2017-11-05,22,494.99,391.04
1567,3,7,2017-11-05,22,53.99,45.35
1568,3,11,2017-11-05,22,539.99,426.59
1569,3,10,2017-11-05,6,215.99,183.59
1570,3,12,2017-11-05,8,42.8,36.38
1571,3,13,2017-11-05,32,43.19,36.28
1572,3,15,2017-11-05,32,48.81,41.0
1573,3,9,2017-11-05,6,404.99,344.24
1736,3,1,2018-01-05,10,551.02,418.78
1737,3,2,2018-01-05,22,116.99,98.27
1738,3,5,2018-01-05,22,494.99,391.04
1739,3,7,2018-01-05,22,53.99,45.35
1740,3,11,2018-01-05,22,539.99,426.59
1741,3,10,2018-01-05,6,215.99,183.59
1742,3,12,2018-01-05,8,42.8,36.38
1743,3,13,2018-01-05,32,43.19,36.28
1744,3,15,2018-01-05,32,48.81,41.0
1745,3,9,2018-01-05,6,404.99,344.24
1746,3,1,2018-01-05,10,551.02,418.78
1747,3,2,2018-01-05,22,116.99,98.27
1748,3,5,2018-01-05,22,494.99,391.04
1749,3,7,2018-01-05,22,53.99,45.35
1750,3,11,2018-01-05,22,539.99,426.59
1751,3,10,2018-01-05,6,215.99,183.59
1752,3,12,2018-01-05,15,42.8,36.38
1753,3,13,2018-01-05,32,43.19,36.28
1754,3,15,2018-01-05,32,48.81,41.0
1755,3,9,2018-01-05,6,404.99,344.24
2132,3,1,2018-03-05,8,551.02,418.78
2133,3,2,2018-03-05,23,116.99,98.27
2134,3,5,2018-03-05,23,494.99,391.04
2135,3,7,2018-03-05,23,53.99,45.35
2136,3,11,2018-03-05,23,539.99,426.59
2137,3,10,2018-03-05,6,215.99,183.59
2138,3,12,2018-03-05,8,42.8,36.38
2139,3,13,2018-03-05,33,43.19,36.28
2140,3,15,2018-03-05,33,48.81,41.0
2141,3,9,2018-03-05,6,404.99,344.24
2296,3,1,2018-05-05,7,551.02,418.78
2297,3,2,2018-05-05,20,116.99,98.27
2298,3,5,2018-05-05,20,494.99,391.04
2299,3,7,2018-05-05,20,53.99,45.35
2300,3,11,2018-05-05,20,539.99,426.59
2301,3,10,2018-05-05,5,215.99,183.59
2302,3,12,2018-05-05,7,42.8,36.38
2303,3,13,2018-05-05,29,43.19,36.28
2304,3,15,2018-05-05,29,48.81,41.0
2305,3,9,2018-05-05,5,404.99,344.24
2453,3,1,2018-07-05,5,551.02,418.78
2454,3,2,2018-07-05,14,116.99,98.27
2455,3,5,2018-07-05,14,494.99,391.04
2456,3,7,2018-07-05,14,53.99,45.35
2457,3,11,2018-07-05,14,539.99,426.59
2458,3,10,2018-07-05,4,215.99,183.59
2459,3,12,2018-07-05,5,42.8,36.38
2460,3,13,2018-07-05,20,43.19,36.28
2461,3,15,2018-07-05,20,48.81,41.0
2462,3,9,2018-07-05,4,404.99,344.24
2540,3,1,2018-09-05,6,551.02,418.78
2541,3,2,2018-09-05,16,116.99,98.27
2542,3,5,2018-09-05,16,494.99,391.04
2543,3,7,2018-09-05,16,53.99,45.35
2544,3,11,2018-09-05,16,539.99,426.59
2545,3,10,2018-09-05,4,215.99,183.59
2546,3,12,2018-09-05,6,42.8,36.38
2547,3,13,2018-09-05,24,43.19,36.28
2548,3,15,2018-09-05,24,48.81,41.0
2549,3,9,2018-09-05,4,404.99,344.24
2659,3,1,2018-11-05,8,551.02,418.78
2660,3,2,2018-11-05,22,116.99,98.27
2661,3,5,2018-11-05,22,494.99,391.04
2662,3,7,2018-11-05,22,53.99,45.35
2663,3,11,2018-11-05,22,539.99,426.59
2664,3,10,2018-11-05,6,215.99,183.59
2665,3,12,2018-11-05,8,42.8,36.38
2666,3,13,2018-11-05,32,43.19,36.28
2667,3,15,2018-11-05,32,48.81,41.0
2668,3,9,2018-11-05,6,404.99,344.24
2831,3,1,2019-01-05,10,551.02,418.78
2832,3,2,2019-01-05,20,116.99,98.27
2833,3,5,2019-01-05,30,494.99,391.04
2834,3,7,2019-01-05,22,53.99,45.35
2835,3,11,2019-01-05,10,539.99,426.59
2836,3,10,2019-01-05,6,215.99,183.59
2837,3,12,2019-01-05,5,42.8,36.38
2838,3,13,2019-01-05,32,43.19,36.28
2839,3,15,2019-01-05,32,48.81,41.0
2840,3,9,2019-01-05,6,404.99,344.24
3054,3,1,2019-03-05,8,551.02,418.78
3055,3,2,2019-03-05,23,116.99,98.27
3056,3,5,2019-03-05,23,494.99,391.04
3057,3,7,2019-03-05,23,53.99,45.35
3058,3,11,2019-03-05,23,539.99,426.59
3059,3,10,2019-03-05,6,215.99,183.59
3060,3,12,2019-03-05,8,42.8,36.38
3061,3,13,2019-03-05,33,43.19,36.28
3062,3,15,2019-03-05,33,48.81,41.0
3063,3,9,2019-03-05,6,404.99,344.24
3218,3,1,2019-05-05,7,551.02,418.78
3219,3,2,2019-05-05,20,116.99,98.27
3220,3,5,2019-05-05,20,494.99,391.04
3221,3,7,2019-05-05,20,53.99,45.35
3222,3,11,2019-05-05,20,539.99,426.59
3223,3,10,2019-05-05,5,215.99,183.59
3224,3,12,2019-05-05,7,42.8,36.38
3225,3,13,2019-05-05,29,43.19,36.28
3226,3,15,2019-05-05,29,48.81,41.0
3227,3,9,2019-05-05,5,404.99,344.24
3290,3,1,2019-06-05,8,551.02,418.78
3291,3,2,2019-06-06,22,116.99,98.27
3292,3,5,2019-06-07,22,494.99,391.04
3293,3,7,2019-06-08,22,53.99,45.35
3294,3,11,2019-06-09,22,539.99,426.59
3295,3,10,2019-06-10,6,215.99,183.59
3296,3,12,2019-06-11,8,42.8,36.38
3297,3,13,2019-06-12,32,43.19,36.28
3298,3,15,2019-06-13,32,48.81,41.0
3299,3,9,2019-06-14,6,404.99,344.24
3363,3,1,2019-08-17,8,551.02,418.78
3364,3,2,2019-08-18,22,116.99,98.27
3365,3,5,2019-08-19,22,494.99,391.04
3366,3,7,2019-08-20,22,53.99,45.35
3367,3,11,2019-08-21,22,539.99,426.59
3368,3,10,2019-08-22,6,215.99,183.59
3369,3,12,2019-08-23,8,42.8,36.38
3370,3,13,2019-08-24,32,43.19,36.28
3371,3,15,2019-08-25,32,48.81,41.0
3372,3,9,2019-08-26,6,404.99,344.24
3434,3,1,2019-10-27,8,551.02,418.78
3435,3,2,2019-10-28,22,116.99,98.27
3436,3,5,2019-10-29,22,494.99,391.04
3437,3,7,2019-10-30,22,53.99,45.35
3438,3,11,2019-10-31,22,539.99,426.59
3439,3,10,2019-11-01,6,215.99,183.59
3440,3,12,2019-11-02,8,42.8,36.38
3441,3,13,2019-11-03,32,43.19,36.28
3442,3,15,2019-11-04,32,48.81,41.0
3443,3,9,2019-11-05,6,404.99,344.24
3632,3,1,2020-05-12,8,551.02,418.78
3633,3,2,2020-05-13,23,116.99,98.27
3634,3,5,2020-05-14,23,494.99,391.04
3635,3,7,2020-05-15,23,53.99,45.35
3636,3,11,2020-05-16,23,539.99,426.59
3637,3,10,2020-05-17,6,215.99,183.59
3638,3,12,2020-05-18,8,42.8,36.38
3639,3,13,2020-05-19,33,43.19,36.28
3640,3,15,2020-05-20,33,48.81,41.0
3641,3,9,2020-05-21,6,404.99,344.24
3796,3,1,2020-10-23,7,551.02,418.78
3797,3,2,2020-10-24,20,116.99,98.27
3798,3,5,2020-10-25,20,494.99,391.04
3799,3,7,2020-10-26,20,53.99,45.35
3800,3,11,2020-10-27,20,539.99,426.59
